Comic Title,Publication Year,Cover URL
Thor: For Asgard (2010) #5,2010,http://i.annihil.us/u/prod/marvel/i/mg/4/e0/56538e88b9e94.jpg
Astonishing Thor (2010) #1 (FOILOGRAM VARIANT),2010,http://i.annihil.us/u/prod/marvel/i/mg/4/b0/4ce683769639e.jpg
Thor the Mighty Avenger (2010) #6,2010,http://i.annihil.us/u/prod/marvel/i/mg/6/30/5835bb7c10e09.jpg
Avengers & the Infinity Gauntlet (2010) #4,2010,http://i.annihil.us/u/prod/marvel/i/mg/c/50/5c1aafa779b36.jpg
Astonishing Thor (2010) #1,2010,http://i.annihil.us/u/prod/marvel/i/mg/f/80/56ddee3e17f2b.jpg
Thor: First Thunder (2010) #3,2010,http://i.annihil.us/u/prod/marvel/i/mg/9/f0/59f880af84c0d.jpg
Chaos War: Dead Avengers (2010) #1,2010,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4f68c30100312.jpg
Avengers (2010) #7 (MCGUINNESS VARIANT),2010,http://i.annihil.us/u/prod/marvel/i/mg/b/c0/4c45c0bc1e72d.jpg
Avengers (2010) #7,2010,http://i.annihil.us/u/prod/marvel/i/mg/5/80/5a26c4110b8d2.jpg
Avengers: Earth's Mightiest Heroes (2010) #1,2010,http://i.annihil.us/u/prod/marvel/i/mg/9/e0/4f79ec904d31f.jpg
Chaos War: Thor (2010) #1,2010,http://i.annihil.us/u/prod/marvel/i/mg/3/a0/51e6f4217e177.jpg
Thor (2007) #617 (TRON VARIANT),2010,http://i.annihil.us/u/prod/marvel/i/mg/f/10/4cd41e096beda.jpg
Marvel Adventures Super Heroes (2010) #8,2010,http://i.annihil.us/u/prod/marvel/i/mg/9/30/60803bf4cd4b8.jpg
Thor (2007) #617,2010,http://i.annihil.us/u/prod/marvel/i/mg/f/90/56f2ce0e93cde.jpg
Avengers: Prime (2010) #4,2010,http://i.annihil.us/u/prod/marvel/i/mg/5/d0/5a204732b5cb8.jpg
Thor: For Asgard (2010) #4,2010,http://i.annihil.us/u/prod/marvel/i/mg/9/80/564b9a6b39ad3.jpg
Avengers: The Origin (2010) #1,2010,http://i.annihil.us/u/prod/marvel/i/mg/2/f0/5c2e229039b13.jpg
Thor and the Warriors Four (2010) #1,2010,http://i.annihil.us/u/prod/marvel/i/mg/b/b0/5a1c505c7bda5.jpg
Thor (2007) #608,2010,http://i.annihil.us/u/prod/marvel/i/mg/9/70/56f2c73a7eb70.jpg
Thor MGC (2010) #1,2010,http://i.annihil.us/u/prod/marvel/i/mg/c/00/4baa3f473f16c.jpg
Free Comic Book Day (2010) #1,2010,http://i.annihil.us/u/prod/marvel/i/mg/5/90/5afdda8c8aa9e.jpg
Hercules: Fall of an Avenger (2010) #1,2010,http://i.annihil.us/u/prod/marvel/i/mg/1/a0/5c3cad1cb43cf.jpg
Super Hero Squad (2010) #3,2010,http://i.annihil.us/u/prod/marvel/i/mg/5/f0/56056a81a01ff.jpg
The Mighty Avengers (2007) #34,2010,http://i.annihil.us/u/prod/marvel/i/mg/4/50/4f7c983a17847.jpg
The Mighty Avengers (2007) #34 (DEADPOOL VARIANT),2010,http://i.annihil.us/u/prod/marvel/i/mg/6/f0/4bac2395979b6.jpg
Thor (2007) #607 (DEADPOOL VARIANT),2010,http://i.annihil.us/u/prod/marvel/i/mg/7/30/4bac076789c88.jpg
Avengers: The Initiative (2007) #33 (DEADPOOL VARIANT),2010,http://i.annihil.us/u/prod/marvel/i/mg/6/60/4e95e392e302a.jpg
Thor (2007) #607,2010,http://i.annihil.us/u/prod/marvel/i/mg/6/d0/56f2c769b23e4.jpg
Avengers: The Initiative (2007) #33,2010,http://i.annihil.us/u/prod/marvel/i/mg/4/20/4e95e011889e5.jpg
Incredible Hulks (2010) #607 (MCGUINNESS VARIANT),2010,http://i.annihil.us/u/prod/marvel/i/mg/d/b0/4e78fd89c7c5e.jpg
Siege (2009) #2,2010,http://i.annihil.us/u/prod/marvel/i/mg/f/90/517aede8d3af6.jpg
Siege: Storming Asgard - Heroes & Villains (2009) #1,2010,http://i.annihil.us/u/prod/marvel/i/mg/c/70/5aeb5c4f53e19.jpg
Avengers: The Initiative (2007) #32,2010,http://i.annihil.us/u/prod/marvel/i/mg/c/50/4e95daaf4146b.jpg
Thor (2007) #606,2010,http://i.annihil.us/u/prod/marvel/i/mg/7/10/56f2c786b18e5.jpg
